date,open,high,low,close,volume,clv,close_strength,volume_ma7,volume_ma14,volume_ma28,relative_volume7,relative_volume28,volume_zscore28,daily_return,normalized_move,abs_normalized_move,liquidity_pressure,close_volume_strength,smart_money_pressure,next_day_return_pct,next_3day_return_pct,next_5day_return_pct,strong_bullish_liquidity_day,strong_bearish_liquidity_day
2026-07-29,2.3,2.33,2.27,2.3,2984815.0,0.4999999999999963,-7.438494264988549e-15,1572597.2857142857,3517242.3571428573,4571320.535714285,1.8980161209195234,0.6529437121463223,-0.39568353723690297,0.0,0.0,0.0,0.0,-1.4118382030315686e-14,-0.11287487554857083,0.43478260869566226,9.565217391304357,5.652173913043494,False,False
2026-07-30,2.3,2.33,2.3,2.31,1255294.0,0.33333333333333826,-0.3333333333333235,1433205.2857142857,2690092.0,4521246.464285715,0.8758647574861422,0.27764334678850927,-0.807817120164311,0.004347826086956719,0.04347826086956719,0.04347826086956719,0.03808107641244269,-0.2919549191620388,-0.320805149769995,0.4329004329004236,7.792207792207799,7.359307359307356,False,False
2026-08-02,2.31,2.34,2.3,2.32,1851784.0,0.5,0.0,1567222.142857143,2264399.5714285714,4526459.071428572,1.1815708503352838,0.4091021195107301,-0.6621690047692574,0.0043290043290042934,0.043290043290042934,0.043290043290042934,0.05115025326126727,0.0,-0.1609545067385855,8.620689655172423,4.741379310344842,4.310344827586212,False,False
2026-08-03,2.32,2.55,2.32,2.52,16880124.0,0.8695652173913052,0.7391304347826104,3853650.4285714286,3170773.4285714286,5069271.321428572,4.38029455781685,3.329891601707168,2.5553705355864937,0.0862068965517242,0.862068965517242,0.862068965517242,3.7761159981179766,3.2376090209950705,0.8506755940519259,-1.1904761904761827,-1.5873015873015885,-6.7460317460317425,True,False
2026-08-04,2.51,2.6,2.46,2.49,11156490.0,0.21428571428571588,-0.5714285714285683,5229322.571428572,3691029.4285714286,5344672.642857143,2.133448424267355,2.0874038029083084,1.2236442996068833,-0.011904761904761862,-0.11904761904761862,0.11904761904761862,-0.25398195526992234,-1.2191133852956249,-0.012067947235583854,-2.4096385542168695,-2.8112449799196897,-5.6224899598393625,False,False
2026-08-05,2.5,2.57,2.41,2.43,8283908.0,0.12500000000000036,-0.7499999999999993,6265285.285714285,4146421.8571428573,5597819.392857143,1.3221916676146341,1.4798455288804646,0.5704162232202941,-0.02409638554216864,-0.2409638554216864,0.2409638554216864,-0.31860040183485117,-0.9916437507109748,-0.21758968999496622,2.0576131687242727,-3.29218106995885,-2.469135802469138,False,True
2026-08-06,2.43,2.52,2.42,2.48,4052063.0,0.6,0.19999999999999996,6637782.571428572,4285214.5,5614095.785714285,0.610454313077616,0.7217659182643342,-0.33216318744522544,0.020576131687242816,0.20576131687242816,0.20576131687242816,0.1256078833493038,0.12209086261552317,0.04558944833731582,-2.4193548387096793,-5.2419354838709635,-5.2419354838709635,False,False
2026-08-09,2.46,2.5,2.41,2.42,1657419.0,0.11111111111110891,-0.7777777777777821,6448154.571428572,4010375.9285714286,5184310.071428572,0.2570377278708446,0.3196990490854817,-0.7869395667942336,-0.024193548387096753,-0.24193548387096753,0.24193548387096753,-0.06218654706552687,-0.19991823278843582,-0.5806933001600268,-2.892561983471068,-2.0661157024793315,-3.305785123966945,False,False
2026-08-10,2.42,2.42,2.34,2.35,2432475.0,0.12500000000000278,-0.7499999999999944,6616323.285714285,4024764.285714286,4884076.678571428,0.3676475430473762,0.4980419350646822,-0.5611223050063818,-0.028925619834710647,-0.2892561983471065,0.2892561983471065,-0.10634433063353821,-0.27573565728553007,-0.5394197581967901,0.0,0.0,-0.42553191489362685,False,False
2026-08-11,2.35,2.38,2.33,2.35,1289834.0,0.4000000000000018,-0.1999999999999964,6536044.714285715,4051633.4285714286,4648515.392857143,0.19734167319584475,0.2774722445755358,-0.7669835668999719,0.0,0.0,0.0,0.0,-0.03946833463916824,-0.27355160716418936,0.8510638297872347,-0.42553191489362685,,False,False
2026-08-12,2.35,2.4,2.34,2.37,1692401.0,0.5000000000000037,7.327471962526033e-15,4366370.0,4110010.214285714,4208030.714285715,0.387599081158949,0.40218361388250323,-0.6280864474376914,0.008510638297872353,0.08510638297872353,0.08510638297872353,0.03298715584331485,2.8401213998930512e-15,-0.14148803879159785,-0.8438818565400852,-1.2658227848101369,,False,False
2026-08-13,2.37,2.41,2.35,2.35,1530346.0,0.0,-1.0,2991206.5714285714,4110264.5714285714,4070959.535714286,0.5116149498391619,0.3759177625260987,-0.6304802741895389,-0.008438818565400852,-0.08438818565400852,0.08438818565400852,-0.04317425737039345,-0.5116149498391619,-0.5928313056056269,-0.42553191489362685,,,False,False
2026-08-16,2.41,2.41,2.33,2.34,1764764.0,0.12499999999999722,-0.7500000000000056,2059900.2857142857,4162592.785714286,3876762.3571428573,0.8567230230700488,0.45521593469572813,-0.5274595404291262,-0.004255319148936287,-0.042553191489362874,0.042553191489362874,-0.03645629885404563,-0.6425422673025414,-0.4577969844715531,0.0,,,False,False
2026-08-17,2.34,2.35,2.32,2.34,843837.0,0.6666666666666617,0.3333333333333235,1601582.2857142857,4119682.4285714286,3765672.1785714286,0.5268770812007697,0.22408668625002928,-0.7223673294416102,0.0,0.0,0.0,0.0,0.17562569373358472,-0.052178728614531655,,,,False,False
