symbol,name,market,status,last_updated
9543,"Saudi Networkers Services Co., Ltd.",TASI,active,2026-09-23
9544,Future Care Trading Co.,TASI,active,2026-09-23
9545,International Human Resources Company,TASI,active,2026-09-23
9546,Naba Alsaha Medical Services Co.,TASI,active,2026-09-23
9547,Rawasi Al Bina Investment Co.,TASI,active,2026-09-23
9548,Arabian Plastic Industrial Co.,TASI,active,2026-09-23
9549,Abdulaziz and Mansour Ibrahim Albabtin Co.,TASI,active,2026-09-23
9550,Sure Global Technology Company,TASI,active,2026-09-23
9551,Knowledge Tower Trading Co.,TASI,active,2026-09-23
9552,Saudi Top for Trading Company,TASI,active,2026-09-23
9553,Molan Steel Company,TASI,active,2026-09-23
9555,Leen Alkhair Trading Co,TASI,inactive,2026-09-20
9557,Edarat Communication and Information Technology Co.,TASI,active,2026-09-23
9558,Alqemam for Computer Systems Co.,TASI,active,2026-09-23
9559,Balady Poultry Trading Co.,TASI,active,2026-09-23
9560,WAJA company,TASI,active,2026-09-23
9561,Knowledge Net Company,TASI,active,2026-09-23
9562,Food Gate Trading Company,TASI,active,2026-09-23
9563,Bena Steel Industries Company,TASI,active,2026-09-23
9564,Horizon Food Company,TASI,active,2026-09-23
9565,Meyar Company,TASI,active,2026-09-23
9566,Saudi Lime Industries Company,TASI,active,2026-09-23
9567,Ghida Al-Sultan Co.,TASI,active,2026-09-23
9568,Mayar Holding Co.,TASI,inactive,2026-09-20
9569,Almuneef Co. for Trading Industry Agriculture & Contraracting,TASI,active,2026-09-23
9570,Tam Development Company,TASI,active,2026-09-23
9571,Munawla Cargo Company,TASI,active,2026-09-23
9572,Al Razi Medical Company,TASI,active,2026-09-23
9574,Professional Medical Expertise Co.,TASI,active,2026-09-23
9575,Marble Design Company,TASI,active,2026-09-23
9576,Paper Home Company,TASI,active,2026-09-23
9577,DAR ALMARKABAH For Renting Cars Company,TASI,active,2026-09-23
9578,Atlas Elevators General Trading and Contracting Company,TASI,active,2026-09-23
9579,Rimath Hospitality Company,TASI,active,2026-09-23
9580,Al Rashid Industrial Co,TASI,active,2026-09-23
9581,Clean life company,TASI,active,2026-09-23
9583,United Mining Industries Company,TASI,active,2026-09-23
9584,Riyal Investment and Development Company,TASI,inactive,2026-09-20
9585,Mulkia Investment Company,TASI,active,2026-09-23
9586,Osool & Bakheet Investment Company,TASI,active,2026-09-23
9587,Lana Medical Co.,TASI,active,2026-09-23
9588,Riyadh Steel Company,TASI,active,2026-09-23
9589,Fad International Company,TASI,active,2026-09-23
9591,View United Real Estate Development Company,TASI,active,2026-09-23
9592,Almujtama Alraida Medical Co.,TASI,active,2026-09-23
9593,Pan Gulf Marketing Co.,TASI,active,2026-09-23
9594,Almodawat Specialized Medical Hospital Company,TASI,active,2026-09-23
9595,WSM for Information Technology Co.,TASI,active,2026-09-23
9596,Quara Finance Company,TASI,active,2026-09-23
9597,Leaf Global Environmental Services Company,TASI,active,2026-09-23
9598,Al Mohafaza Company for Education,TASI,active,2026-09-23
9599,Taqat Mineral Trading Co,TASI,active,2026-09-23
9600,Qomel Company,TASI,active,2026-09-23
9601,Mohammed Hadi Al Rasheed and Partners Co.,TASI,active,2026-09-23
9602,Yaqeen Capital Company,TASI,active,2026-09-23
9603,Horizon Educational Company,TASI,active,2026-09-23
9604,Miral Dental Clinics Co.,TASI,active,2026-09-23
9605,Neft Alsharq Co. for Chemical Industries,TASI,active,2026-09-23
9606,Altharwah Albashariyyah Co.,TASI,active,2026-09-23
9607,ASG Plastic Factory Company,TASI,active,2026-09-23
9608,Al Ashghal Almoysra Company,TASI,active,2026-09-23
9609,Naas Petrol Factory Company,TASI,active,2026-09-23
9610,First Avenue Real Estate Development Company,TASI,active,2026-09-23
9611,United Arab Float Glass Co.,TASI,active,2026-09-23
9612,SAMA Healthy Water Factory company,TASI,active,2026-09-23
9613,Shalfa Facilities Management Co.,TASI,active,2026-09-23
9614,Purity For Information Technology Co.,TASI,active,2026-09-23
9615,Mufeed Company,TASI,active,2026-09-23
9617,Arabica Star Company,TASI,active,2026-09-23
9618,Al-Fakhera Men Tailoring Co.,TASI,active,2026-09-23
9619,Multi Business Group for Projects Company,TASI,active,2026-09-23
9620,Balsm Alofoq Medical Company,TASI,active,2026-09-23
9621,Digital Research Company,TASI,active,2026-09-23
9622,Shmoh Almadi Co.,TASI,active,2026-09-23
9623,Albattal Factory for Chemical Industries Co.,TASI,active,2026-09-23
9624,Alshehili Company for metal industries,TASI,active,2026-09-23
9625,Itmam Consultancy Co.,TASI,active,2026-09-23
9626,Basma Adeem Medical Co.,TASI,active,2026-09-23
9627,Twareat Medical Care Co.,TASI,active,2026-09-23
9628,Lamasat Company Limited,TASI,active,2026-09-23
9630,Ratio Specialty Company For Trading,TASI,active,2026-09-23
9631,Hedab Alkhaleej Trading Co.,TASI,active,2026-09-23
9632,Future Vision for Health Training Co.,TASI,active,2026-09-23
9633,Service Equipment Co.,TASI,active,2026-09-23
